"資料集名稱","檔案格式","下載連結","資料集類型","資料集描述","主要欄位說明","資料集提供機關","更新頻率" ,"授權方式","授權說明網址","計費方式","編碼格式","資料集提供機關聯絡人","資料集提供機關聯絡人電話","備註"
"小巨人獎","csv","http://award.moeasmea.gov.tw/moeasmea/wSite/public/Attachment/f1414649367109.csv","rawData","歷屆獲選小巨人獎企業名單","屆別、企業名稱、電話、公司地址","經濟部中小企業處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","林小姐","02-23662223",""
"臺灣活動斷層分布圖(五十萬分之一紙圖版更新數值檔)","wms","http://gis.moeacgs.gov.tw/wmslr/wms.cfm","services","為最新全台活動斷層分布圖，可直接套繪Google Earth軟體。","資料內容為各活動斷層位置分布線型(polyline)及各活動斷層名稱，座標投影為WGS84，資料格式為經緯度。","經濟部中央地質調查所","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode;","莊先生","02-29462793#265",""
"楠梓、高雄軟體園區就業資訊","csv","http://www.epza.gov.tw/pagedownloadfile.aspx?fid=a8475f8a4ebc4e17","rawData","提供楠梓、高雄軟體園區之就業資訊","就業訊息標題、公司名稱、統一編號、職稱、職缺數、工作內容、工作地點、聯絡人","經濟部加工出口區管理處","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode;","張小姐","07-3611212#142","業務窗口李小姐,07-3611212 #416"
"ISO認可登錄廠商查詢","csv","http://www.bsmi.gov.tw/wSite/record/file_act.jsp?ixCuAttach=18050","rawData","提供經濟部標準檢驗局認可ISO登錄廠商資料","廠商代號、廠商名稱、廠址、電話、傳真、登錄日期、登錄範圍、證書有效期限、版本","經濟部標準檢驗局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","蕭先生","02-33432294","檔案於3月25日提供下載"
"各類貨品檢驗合格名單","csv","http://www.bsmi.gov.tw/wSite/record/file_act.jsp?ixCuAttach=18074","rawData","提供經濟部標準檢驗局各類貨品檢驗書面審查、抽批檢驗合格名單","年月、貨品類別、廠商名稱、貨品名稱、批數、貨品號列、自印標識號碼、標示總類1、標示總類2、標示號碼起、標示號碼迄、統一編號","經濟部標準檢驗局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","蕭先生","02-33432294","以書審及抽批檢驗方式，非逐批檢驗"
"台灣區土石生產量值表","txt","http://www.mine.gov.tw/Download/OpenData/台灣區土石生產量值表.zip","rawData","本資料集主要提供全臺灣土石採取之每月生產量值、及每月累計量值統計數字、網址等資訊。","主要欄位有「土石種類」、「生產量」、「生產值」、「累計量」、「累計值」」、「單位」。","經濟部礦務局","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","邱先生","02-23113001#721",""
"水利防災資訊","kml","http://fhy.wra.gov.tw/Pub_Web_2011/kml/WRAWarm.kml","rawData","水利署整合了氣象、雨量、警戒、災情、崩塌、監控、淹水潛勢、土石流和水文水資源等資訊，提供KML下載，使用者可於「Google Earth」呈現了解即時的狀況。","警戒原因、地區、範圍、時間。雨量、水位警戒值、水位高、洩洪資訊、淹水潛勢","經濟部水利署","每10分鐘","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-37073100",""
"防災資訊_淹水警戒","kml","http://fhy.wra.gov.tw/Pub_Web_2011/kml/WRAWarm.kml","rawData","經濟部水利署災害緊急應變小組，運用長期防災應變等相關經驗，進一步結合雨量、水位、水庫等即時資料，透過電腦科技的運算，提供民眾與相關單位即時淹水警戒。讓民眾了解居家淹水風險，及早準備，降低災害的發生。","淹水警戒","經濟部水利署","有告警事件時每十分鐘更新一次","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-37073100",""
"防災資訊_河川警戒","kml","http://fhy.wra.gov.tw/Pub_Web_2011/kml/WRAWarm.kml","rawData","經濟部水利署災害緊急應變小組，運用長期防災應變等相關經驗，進一步結合雨量、水位、水庫等即時資料，透過電腦科技的運算，提供民眾與相關單位水位警戒。讓民眾了解居家淹水風險，及早準備，降低災害的發生。","河川警戒","經濟部水利署","每10分鐘","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-37073100",""
"防災資訊_水庫洩洪警戒","kml","http://fhy.wra.gov.tw/Pub_Web_2011/kml/WRAWarm.kml","rawData","經濟部水利署災害緊急應變小組，運用長期防災應變等相關經驗，進一步結合雨量、水位、水庫等即時資料，透過電腦科技的運算，提供民眾與相關單位水庫警戒。讓民眾了解居家淹水風險，及早準備，降低災害的發生。","水庫洩洪警戒","經濟部水利署","每10分鐘","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-37073100",""
"中部科學工業園區園區活動訊息","csv","http://mas.most.gov.tw/opendata/GetFile?format=csv&serialno=105","rawData","有關園區舉辦各項活動訊息，舉凡兩性聯誼、環保、演講等重要活動訊息。","活動主旨、活動主旨內容、公告日期、活動期間、附件、內容網頁連結。","科技部","每月-活動前兩週","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","(04)2565-8588",""
"拒絕往來廠商公告","xml","http://web.pcc.gov.tw/vms/rvlmd/QueryApproveRV.do?type=xml","rawData","有因政府採購法第101條之情形，而經機關依同法第102條規定刊登於政府採購公報之紀錄","廠商代碼、標案案號、廠商名稱、廠商地址、廠商國別、刊登機關代碼、刊登機關名稱、機關地址、聯絡人、聯絡電話、標案名稱、符合政府採購法第101條所列之情形、原始公告日期、公告日期、拒絕往來生效日、政府採購法第103條第一項所規定之期間、拒絕往來截止日、 異議或申訴結果","行政院公共工程委員會","每日（上班日）","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","黃先生","02-87897645",""
"政府採購法規解釋函令及相關函文","txt","http://plan3.pcc.gov.tw/gpletf/gpl.txt","rawData","與政府採購法規有關之解釋函令及相關函文公告資訊","發文日期、發文字號、依據政府採購法條文、本解釋函上網公告者、主旨、說明","行政院公共工程委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","徐小姐","02-87897639",""
"海上救生救難案例","txt","http://www.cga.gov.tw/GipOpen/wSite/public/Attachment/f1363917411783.zip","rawData","本署執行指標性海難案件概述","發生時間、地點及案情經過","行政院海岸巡防署","每週","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","施先生","02-22399201#266217",""
"海巡統計年報","csv","http://www.cga.gov.tw/GipOpen/wSite/public/Attachment/f1364180193725.zip","rawData","本署年度業務績效、人員統計及預算編製情形","業務績效類：「查獲槍砲彈藥及刀械」、「查獲毒品」、「查獲農林漁畜產品及其他私運物品」、「查獲非法入出國」、「專案工作」、「取締非法越區捕魚」、「取締破壞海洋海岸資源行為」、「救難救生及打撈浮屍」、「其他」等績效之案件數、嫌犯人數及查獲數量為主要欄位。人員統計以編製員額、預算員額及現有員額之身分性別為主要欄位。預算編製以預算數、決算數為主要欄位。","行政院海岸巡防署","1年1次","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","劉先生","02-22399201#266842",""
"海巡雙月刊","txt","http://www.cga.gov.tw/GipOpen/wSite/public/Attachment/f1363854557552.zip","rawData","海巡雙月刊詳細內容","題目、作者、攝影者、時間、內容、圖片","行政院海岸巡防署","2個月","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","王先生","02-22399201#266755",""
"行政院海岸巡防署「重大政策」","txt","http://www.cga.gov.tw/GipOpen/wSite/public/Attachment/f1363914864192.zip","rawData","為落實  總統「捍衛主權、漁權」政策，重申我國對於南海、東海固有領域主權與權利，本署提出「強化海巡編裝發展方案」，業於98年4月14日奉行政院核定，於完成後，本署各式艦艇可達173艘，將能強化遠距巡防能量，有效維護我國海洋權益。另我國與日本及菲律賓等周邊國家專屬經濟海域重疊，時有漁業爭議案件發生，本署將持續依「政府護漁標準作業程序」相關規定及「暫定執法線」所定範圍積極遂行護漁任務，以維護我國專屬經濟海域主權與權利，全力保障漁民在執法線內作業安全，並嚴密查察走私槍、毒、農漁畜及菸酒產品入境，以杜絕疫病入侵，保障農漁民生計。故本署就主掌事務及施政目標，研訂「強化編裝精進裝備」等九項重大政策，並提出具體作法，以彰顯本署肩負海洋環境保護、海上搜救、犯罪防制、資源調查保育與科技研究發展工作等重要使命，落實海洋政策和藍色國土之永續發展。","本資料集計有「強化編裝精進裝備」等九項重大政策，以純文字呈現","行政院海岸巡防署","每季(3、6、9、12月)辦理更新作業","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","廖先生","02-22399201#266112",""
"行政院海岸巡防署「資本支出-中長程個案計畫」","txt","http://www.cga.gov.tw/GipOpen/wSite/public/Attachment/f1363915084605.zip","rawData","各部會依機關中長程施政目標，縝密研訂資本支出個案計畫，其資源投資效益及執行成果良窳緊繫著機關未來的發展；鑑此，本署秉持「建案計畫應符任務實需，管制考核要能積極落實」理念，加強建案計畫審議及管考機制，以有效運用有限之預算，發揮最大投資效益。為達成組織任務，提升施政效能，本署精實規劃中長程建案目標與個案計畫，報經行政院核定之重要中長程個案計畫計有「強化海巡編裝發展方案」等4案，未來將賡續嚴謹執行計畫審議機制及落實管考執行等重點工作，期能建構量精質優之海巡能量，共同營造「生態、安全、繁榮」的國家海洋願景。","本資料集係本署報經行政院核定之重要中長程個案計畫計有「強化海巡編裝發展方案」等4案","行政院海岸巡防署","每年1月辦理更新作業","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","廖先生","02-22399201#266112",""
"全國各縣市有線廣播電視基本頻道收視費用","csv","http://www.ncc.gov.tw/chinese/files/opendata/20130315cable.csv","rawData","有線廣播電視基本頻道收視費用","[縣市別]、[收視費用]","國家通訊傳播委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","陳先生","02-33437314",""
"電信設備審驗合格清單","csv","http://www.ncc.gov.tw/chinese/files/opendata/vv_IPCCDB.csv","rawData","電信設備審驗合格清單","[設備種類],[西元年度後二位],[審定證明編號],[填報貿易e網的認證號碼],[設備名稱],[廠牌],[型號],[申請廠商],[製造廠商],[驗證機構],[SAR值],[拍照功能],[拍照時發出聲響功能],[充電器],[電池],[審驗日期],[出具檢驗報告之測試實驗室],[測試實驗室所屬國家]","國家通訊傳播委員會","每半年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","謝先生","02-23433801",""
"廣播電臺節目表","csv","http://www.ncc.gov.tw/chinese/files/opendata/radio.csv","rawData","無線廣播電臺及無線電視每月節目時間表，包含公營、跨區、調幅及基隆等分區21個子項，共171家電臺。","[業者名稱],[業者類別],[頻率/頻道],[地區別],[節目起日],[節目迄日],[時間起],[時間迄],[週日],[週一],[週二],[週三],[週四],[週五],[週六],[節目名稱],[主播電台名稱],[節目主持人]","國家通訊傳播委員會","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","吳先生","02-23433822",""
"公眾頻率分配","csv","http://www.ncc.gov.tw/chinese/files/opendata/Frequency.csv","rawData","行動通信業務頻率分配","[業務名稱],[頻段起迄],[單位]","國家通訊傳播委員會","每半年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","鄭先生","02-23433854",""
"衛生福利部健康電子報","csv","http://www.mohw.gov.tw/MOHW_Upload/doc/opendata/file.zip","rawData","《健康電子報》提供衛生福利部最新公告資訊、健康預防與衛生教育消息、藥物食品安全注意事項，是民眾獲得健康與衛生教育實用知識的最佳方式","電子報名稱、出刊日期、期數、內容、附件","衛生福利部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode;","林先生","02-8590-6320",""
"全民健康保險爭議審議案件統計","csv","http://www.mohw.gov.tw/MOHW_Upload/doc/opendata/爭審會資料集.zip","rawData","涉及健保署與醫療院所有關醫療費用核定給付及行政處罰裁定之爭審，及健保署與人民權益有關健保保費費用核定與核退給付之爭審，經專業醫師審查及衛生福利部全民健康保險爭議審議會爭審決議案件統計。","審議爭議案件、程序審議、實體審議、案號、申請人、保險對象、科別、類別、組別、案數、決議（撤銷、撤銷另核、部分撤銷、部撤另核）、權益爭議案件、案號/收文號、案由、決議。","衛生福利部","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode;","郭小姐","02-85906729",""
"獨立音樂","xml","http://cloud.culture.tw/frontsite/trans/SearchShowAction.do?method=doFindTypeX&category=5","rawData","獨立樂團之音樂藝文表演。地理資訊以表演地點之地址(結合Google map)及其緯度、經度表示。","活動名稱、場次別名、場次地址、活動期間(起)、收費與否、票價價格說明、緯度、經度","文化部","每日","文化部開放資料使用規範","http://cloud.culture.tw/frontsite/opendata/openCmsAction.do?method=viewUseDetail&menuId=10210","免費","UTF-8;","陳小姐","04-22295848#667",""
